trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
306,False,"{'a': 0.5, 'e': 0.6074101471828237}",25,9,-33.41122918459821,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 1}",1
307,False,"{'a': 0.5, 'e': 0.6050242522459731}",25,9,-57.544957162379596,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 2}",1
308,False,"{'a': 0.5, 'e': 0.6026329120949362}",35,4,-94.93832876984644,"{0: 25, 1: 0, 2: 2, 3: 2, 4: 2}",1
309,False,"{'a': 0.5, 'e': 0.6002361482517583}",20,14,4.53918592233232,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.5, 'e': 0.5978339822872977}",25,9,-28.985572842497305,"{0: 9, 1: 5, 2: 2, 3: 0, 4: 0}",1
311,False,"{'a': 0.5, 'e': 0.5954264358210318}",20,10,8.303662966471762,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.5, 'e': 0.5930135305208627}",25,0,-47.6673593753389,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
313,False,"{'a': 0.5, 'e': 0.5905952881029218}",20,0,-46.668942268387944,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
314,False,"{'a': 0.5, 'e': 0.5881717303313745}",30,16,-21.9156080367471,"{0: 8, 1: 4, 2: 2, 3: 0, 4: 0}",1
315,False,"{'a': 0.5, 'e': 0.5857428790182243}",30,13,9.184904541022348,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
316,False,"{'a': 0.5, 'e': 0.5833087560231167}",25,10,12.125775876243749,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
317,False,"{'a': 0.5, 'e': 0.5808693832531423}",25,3,-2.044124392063914,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
318,False,"{'a': 0.5, 'e': 0.5784247826626394}",20,5,-46.486413095858495,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 1}",1
319,False,"{'a': 0.5, 'e': 0.575974976252997}",20,3,-59.37430676891497,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
320,False,"{'a': 0.5, 'e': 0.573519986072456}",25,13,0.354442388909602,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
321,False,"{'a': 0.5, 'e': 0.5710598342159118}",30,9,-41.16739710156259,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 0}",1
322,False,"{'a': 0.5, 'e': 0.5685945428247141}",20,5,-59.271091368940674,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
323,False,"{'a': 0.5, 'e': 0.5661241340864691}",30,20,9.710367286217846,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.5, 'e': 0.5636486302348387}",30,13,-14.238348404047576,"{0: 11, 1: 5, 2: 1, 3: 0, 4: 0}",1
